TILEID,EXPID,MEDIAN_TSNR2_LRG,MEDIAN_TSNR2_ELG,MEDIAN_DELTACHI2,N_LRG
1404,00088389,9.416961669921875,13.523292541503906,13.768994748126715,1106
1405,00089032,88.71479797363281,127.04386901855469,230.7401427552104,1076
1406,00089033,86.6944580078125,122.7913589477539,206.77143398486078,1120
1407,00091389,101.17084503173828,144.79107666015625,267.21884828805923,1017
1408,00092388,74.28073120117188,106.15945434570312,187.4665664434433,1091
1409,00093273,81.37641906738281,119.34944915771484,195.86248387023807,1126
1410,00093484,79.8179931640625,114.44805908203125,182.44245713949203,969
1411,00090668,86.60208129882812,126.84744262695312,214.58179655112326,1124
1412,00089035,92.37028503417969,135.60113525390625,233.10880034044385,1067
1413,00089034,96.3099365234375,139.09498596191406,259.724388115108,1075
1414,00090771,78.24111938476562,106.90406799316406,212.9199987538159,1107
1415,00090769,75.08343505859375,98.74917602539062,199.1803833283484,1240
1416,00090520,89.82099914550781,135.343505859375,226.63262782990932,1133
1417,00091183,77.81991577148438,104.2828369140625,170.23654115572572,1217
1418,00091388,85.91712951660156,122.12976837158203,210.57199949026108,1146
1419,00093272,84.39694213867188,123.41305541992188,210.29340724274516,1147
1420,00093378,95.54109954833984,136.72885131835938,220.67905504629016,1079
1421,00092385,79.51931762695312,113.74577331542969,184.89963602274656,1117
1422,00091188,78.45673370361328,109.661865234375,212.95190608035773,1086
1423,00091393,86.83756256103516,126.41378784179688,222.5163493381051,1117
1424,00090670,91.7923583984375,135.44432067871094,254.13039677310735,1110
1425,00090525,47.15463638305664,73.64073181152344,105.60648368671536,1015
1425,00090526,55.75912857055664,86.84928894042969,123.49551738426089,1013
1427,00089791,88.27220916748047,128.88473510742188,253.1794572174549,1000
1428,00090773,82.51993560791016,117.13239288330078,201.3201612085104,1171
1429,00088392,51.893104553222656,78.86137390136719,128.49978591874242,1085
1429,00089036,28.90054702758789,43.14223098754883,64.0645204782486,1064
1430,00090522,43.45174026489258,68.00173950195312,102.74259907007217,1120
1430,00090523,51.21442794799805,80.44613647460938,124.76609350088984,1120
1431,00093380,88.24227905273438,125.40867614746094,238.93567331135273,947
1432,00089163,84.68310546875,116.87875366210938,227.19295033812523,1214
1433,00088390,41.597599029541016,61.515323638916016,93.80972435325384,1017
1433,00088391,61.55522155761719,91.22511291503906,134.37722821440548,1016
1514,00095314,27.839704513549805,38.8929443359375,60.185212356969714,1006
1514,00095315,58.05572509765625,79.48416900634766,135.13679801672697,1003
1548,00097963,75.44548034667969,104.57213592529297,201.38238863181323,1274
1573,00089019,88.30270385742188,124.75706481933594,253.74073557555676,1119
1578,00088524,42.41335678100586,60.342254638671875,131.59896772028878,1214
1578,00090129,22.145414352416992,30.559036254882812,59.4783043935895,1217
1578,00090130,25.04738426208496,34.56658172607422,64.8134255995974,1217
1586,00089021,90.76838684082031,128.18728637695312,278.24383522570133,1043
1588,00089153,50.60600280761719,73.1826171875,107.62640675157309,1144
1588,00089154,45.180450439453125,64.92903137207031,91.21655032597482,1144
1590,00090395,43.64399337768555,58.6414794921875,105.9609592333436,1157
1590,00090396,48.375144958496094,63.84828567504883,122.49096899479628,1157
1646,00090131,90.38108825683594,124.80326843261719,218.05079183448106,1237
1726,00093074,46.74884796142578,64.96430969238281,116.01663514226675,1097
1726,00093270,30.951923370361328,43.68621826171875,72.88670333847404,1102
1727,00089273,75.45260620117188,108.49037170410156,195.5017544850707,1119
1728,00089272,82.74417114257812,121.61833190917969,233.8049487248063,1125
1729,00094683,79.76014709472656,106.86067962646484,191.14717812091112,1075
1731,00089276,81.67692565917969,115.33412170410156,199.07496549095958,1100
1734,00089271,89.18785858154297,135.71405029296875,231.8829814195633,1099
1735,00089672,51.35316467285156,80.75996398925781,127.57194508984685,1223
1735,00089673,50.72309112548828,79.11634826660156,133.0891145830974,1222
1736,00093073,82.09252166748047,113.36570739746094,205.37679504416883,1024
1737,00088541,82.58988189697266,119.19450378417969,196.58457561954856,1086
1738,00088540,83.78258514404297,122.59269714355469,223.29868590459228,1094
1739,00089275,75.3956298828125,107.98475646972656,190.7421006038785,1075
1740,00089277,84.18099212646484,119.10494995117188,201.00974801927805,1140
1741,00089279,86.33546447753906,121.62139892578125,214.6374443229288,999
1742,00095093,76.87095642089844,111.15065002441406,197.67448278237134,1072
1744,00095094,82.02425384521484,115.60360717773438,180.90012179128826,1112
1746,00094686,82.81014251708984,114.32191467285156,192.84630831331015,1070
1747,00095095,82.99398803710938,117.88040161132812,203.6215824186802,1017
1748,00093483,79.77332305908203,112.4786148071289,209.33559676259756,1061
1749,00088542,88.02214050292969,126.44725036621094,196.3992234170437,1071
1750,00088387,80.03082275390625,112.9037857055664,201.08240322582424,1146
1751,00088386,80.51406860351562,112.70277404785156,179.66045549232513,1118
1757,00089280,86.55877685546875,122.67555236816406,214.1658327355981,1158
1758,00094685,79.67912292480469,106.86112213134766,184.38654243387282,980
1759,00089278,79.95069885253906,114.23310089111328,211.26075562089682,1238
1760,00094684,78.31976318359375,104.36100769042969,213.41346773691475,981
1761,00093589,75.98320770263672,105.61927032470703,188.55515301972628,980
1762,00088543,106.13019561767578,153.33714294433594,240.86376124620438,1135
1763,00093590,79.282470703125,111.59601593017578,199.98807255458087,968
1764,00093072,84.08302307128906,117.42133331298828,194.40173472836614,1097
1765,00088539,85.03166198730469,124.4007797241211,232.3388078957796,1071
1766,00089270,87.17516326904297,130.63992309570312,210.62808320426848,1072
1773,00089268,96.86299896240234,148.49696350097656,250.70540495961905,1105
1774,00090133,83.59941101074219,124.73030090332031,219.54820317029953,1093
1775,00096358,81.11811828613281,107.65959930419922,215.31514821387827,1140
1776,00088875,87.07420349121094,124.99055480957031,216.1173584861681,1144
1786,00095201,87.24162292480469,121.47098541259766,238.50981966312975,973
1789,00093379,87.11555480957031,124.90686798095703,209.20647631864995,1008
1790,00089282,84.51075744628906,120.19832611083984,220.6731473915279,1051
1791,00088873,80.68853759765625,116.30482482910156,207.41248152032495,1089
1816,00093600,49.418617248535156,72.8143310546875,123.49882058799267,993
1816,00094624,29.320117950439453,42.99871063232422,69.97374074906111,939
1818,00095207,78.37417602539062,112.25750732421875,220.86902637034655,1183
1821,00094625,38.29644775390625,56.659358978271484,88.68315840605646,950
1821,00094626,8.206313133239746,13.333681106567383,8.769756884779781,956
1821,00094987,32.47772216796875,46.311336517333984,75.73668882995844,1037
1822,00093493,84.62930297851562,122.84866333007812,185.9926094757393,1002
1823,00094988,71.77963256835938,105.7055892944336,184.1576978256926,1085
1824,00095317,31.83648109436035,46.45800018310547,73.51488673873246,1340
1824,00095516,33.982120513916016,48.69535827636719,78.44795102253556,1193
1830,00095102,80.38058471679688,116.02613067626953,192.5670335572213,1301
1831,00092403,76.99340057373047,116.06010437011719,204.61192460358143,1183
1832,00093284,83.06365966796875,125.73635864257812,205.15676439972594,1046
1833,00091191,81.14839172363281,125.86906433105469,226.83712493348867,986
1834,00093285,76.36381530761719,122.84664916992188,201.61630665510893,1040
1835,00093282,78.30040740966797,116.3173599243164,202.21917074918747,1061
1836,00093283,80.59330749511719,118.15827941894531,189.93264295905828,1123
1841,00094986,88.38844299316406,125.9981689453125,261.56544053554535,1029
1842,00097953,77.75213623046875,103.7217788696289,196.3305899500847,999
1843,00094985,91.59627532958984,128.58877563476562,195.66456436924636,990
1844,00095103,76.1729965209961,109.2406997680664,185.11707420647144,1061
1845,00095206,79.30602264404297,109.6937255859375,189.3857029285282,1140
1846,00094688,45.737518310546875,65.13396453857422,95.24149227563794,947
1846,00094689,21.979921340942383,30.860118865966797,41.44153285771608,949
1846,00094690,25.11583709716797,35.862796783447266,46.71125282719731,950
1847,00093388,89.52043151855469,129.86376953125,232.20341129787266,896
1848,00094622,89.61126708984375,132.629150390625,206.05002036690712,1067
1853,00097961,76.33474731445312,101.03181457519531,198.1726311147213,1155
1869,00097954,78.08367919921875,102.37423706054688,200.60481236875057,1098
1874,00095101,77.26748657226562,113.18621826171875,207.78922674059868,1100
1882,00090775,30.069446563720703,42.69055938720703,70.3340474376455,1080
1882,00091395,54.62554931640625,80.43257141113281,130.44463000174892,1082
1884,00092398,85.33589935302734,123.69868469238281,219.34290006384254,1102
1885,00093387,87.29559326171875,123.24150848388672,261.3205347470939,925
1886,00093281,86.51986694335938,125.52751922607422,190.89177983254194,1024
1887,00092397,78.60166931152344,112.5576171875,190.00805680453777,976
