TILEID,NIGHT,FIBER,IMAGING_FLUX_R,IMAGING_FIBERFLUX_R,SPECTRO_FLUX_R,SPECTRO_FIBERFLUX_R
1750,20210514,3722,0.4437304437160492,0.3115609288215637,0.33761042873440444,0.2652756151100652
1750,20210514,3723,0.4465588629245758,0.25179314613342285,0.3605864659113664,0.2796654148135102
1750,20210514,3724,0.9079541563987732,0.7070950865745544,0.928655006219996,0.7327087999075766
1750,20210514,3726,29.291879653930664,10.498729705810547,13.696925542245458,10.43394107302941
1750,20210514,3728,0.4606444835662842,0.3217577338218689,0.3736864340752553,0.29358764634012025
1750,20210514,3729,0.42410895228385925,0.24760711193084717,0.2842308276540261,0.22168386203775517
1750,20210514,3731,1.1313644647598267,0.593717634677887,0.719170845653041,0.5591045348487712
1750,20210514,3733,14.509767532348633,11.290743827819824,12.152452569532432,9.588285077361087
1750,20210514,3735,0.42120087146759033,0.28243741393089294,0.43646501787096575,0.3426069906722449
1750,20210514,3736,0.6651374101638794,0.5179265737533569,0.8146905261310168,0.6427908251173721
1750,20210514,3737,0.4059741199016571,0.22771736979484558,0.4902316002930776,0.3831404950427276
1750,20210514,3739,1.04512619972229,0.8142629861831665,2.019672976086564,1.5935219781322985
1750,20210514,3742,1.0987101793289185,0.33125537633895874,0.3456365016332775,0.26213101089624025
1750,20210514,3743,6.898571968078613,5.372154235839844,10.268753808394537,8.102046754823286
1750,20210514,3744,1.8288047313690186,0.0,2.6170640969089223,2.0707264842916504
1750,20210514,3745,7.175416469573975,5.57861852645874,6.144698461472701,4.8481670861019595
