NIGHT,EXPID,CAMERA,AMP,RDNOISE,GAIN
20220606,138338,b5,D,3.086582089525369,1.132
20220606,138338,r5,A,3.179147067721428,1.684
20220606,138338,r5,B,3.092250667381932,1.655
20220606,138338,r5,C,2.85667661096193,1.467
20220606,138338,r5,D,2.701371109873064,1.509
20220606,138338,z5,A,2.430090461259935,1.572
20220606,138338,z5,B,2.217110562313041,1.511
20220606,138338,z5,C,2.646671143311706,1.72
20220606,138338,z5,D,2.505520751331828,1.658
20220606,138338,b6,A,3.848988532715397,1.29
20220606,138338,b6,B,3.281878450682347,1.284
20220606,138338,b6,C,3.243938090098895,1.292
20220606,138338,b6,D,3.170054396312772,1.295
20220606,138338,r6,A,2.687678846431991,1.704
20220606,138338,r6,B,3.11668456198968,1.665
20220606,138338,r6,C,2.392389942064935,1.491
20220606,138338,r6,D,2.300867681777482,1.531
20220606,138338,z6,A,2.181526702005936,1.387
20220606,138338,z6,B,2.289503641602114,1.518
20220606,138338,z6,C,2.38244981119619,1.534
20220606,138338,z6,D,2.418648980970416,1.554
20220606,138338,b7,A,3.28465303338258,1.117
20220606,138338,b7,B,2.799850275071561,1.117
20220606,138338,b7,C,3.212147004193247,1.127
20220606,138338,b7,D,2.836202304383054,1.128
20220606,138338,r7,A,2.607193473732626,1.666
20220606,138338,r7,B,2.531252399223079,1.67
20220606,138338,r7,C,2.20128211262117,1.444
20220606,138338,r7,D,2.273108110399216,1.505
20220606,138338,z7,A,2.37667868621809,1.533
20220606,138338,z7,B,2.470748834646923,1.53
20220606,138338,z7,C,2.667781410323286,1.667
20220606,138338,z7,D,2.522616907927454,1.547
20220606,138338,b8,A,3.621766382753687,1.091
20220606,138338,b8,B,2.923302088195501,1.121
20220606,138338,b8,C,3.18698404001987,1.141
20220606,138338,b8,D,3.031712654129248,1.135
20220606,138338,r8,A,2.676224129947085,1.627
20220606,138338,r8,B,2.231966784932075,1.482
20220606,138338,r8,C,2.597654690856358,1.581
20220606,138338,r8,D,2.583187740687762,1.589
20220606,138338,z8,A,2.495731247172548,1.466
20220606,138338,z8,B,2.227960685285304,1.498
20220606,138338,z8,C,2.620923462547589,1.655
20220606,138338,z8,D,2.579227927435124,1.658
20220606,138338,b9,A,3.523726704168474,1.106
20220606,138338,b9,B,2.751358464597675,1.083
20220606,138338,b9,C,3.05995576075499,1.115
20220606,138338,b9,D,3.115475874945451,1.12
20220606,138338,r9,A,2.645572269369489,1.591
20220606,138338,r9,B,2.187665927946633,1.412
20220606,138338,r9,C,2.917392162834575,1.543
20220606,138338,r9,D,2.146030980876938,1.406
20220606,138338,z9,A,2.324041972541478,1.436
20220606,138338,z9,B,2.363271039242985,1.496
20220606,138338,z9,C,2.668005128566676,1.625
20220606,138338,z9,D,2.430300068917927,1.531
20220607,138463,b0,A,4.012443384236829,1.133
20220607,138463,b0,B,3.024604718796708,1.117
20220607,138463,b0,C,3.542976385326798,1.122
20220607,138463,b0,D,3.852153376339928,1.122
20220607,138463,r0,A,2.76652386343177,1.655
20220607,138463,r0,B,2.526404600653581,1.488
20220607,138463,r0,C,2.709269435514974,1.583
20220607,138463,r0,D,2.438117956888922,1.507
20220607,138463,z0,A,2.624541365298771,1.614
20220607,138463,z0,B,2.308451734407693,1.519
20220607,138463,z0,C,2.643064385439585,1.673
20220607,138463,z0,D,2.343749537997317,1.491
